date,time,open,high,low,close,volume
2022.06.23,6:45,20213.8,20235.72,20182.21,20231.46,555
2022.06.23,6:50,20231.72,20241.22,20221.37,20233.21,259
2022.06.23,6:55,20232.96,20237.96,20177.21,20177.21,470
2022.06.23,7:00,20176.96,20191.37,20158.44,20190.37,583
2022.06.23,7:05,20190.21,20195.87,20124.14,20134.59,721
2022.06.23,7:10,20134.09,20179.12,20122.07,20150.71,562
2022.06.23,7:15,20149.96,20168.21,20117.71,20147.21,576
2022.06.23,7:20,20146.71,20179.6,20137.01,20177.58,561
2022.06.23,7:25,20179.58,20242.49,20178.58,20208.71,709
2022.06.23,7:30,20211.99,20270.46,20189.46,20246.38,788
2022.06.23,7:35,20242.88,20262.47,20237.38,20256.71,503
2022.06.23,7:40,20254.31,20349.6,20249.31,20329.63,706
2022.06.23,7:45,20334.13,20337.13,20289.61,20330.11,431
2022.06.23,7:50,20330.11,20338.61,20280.53,20297.73,622
2022.06.23,7:55,20290.23,20355.71,20290.23,20325.96,590
2022.06.23,8:00,20326.71,20357.71,20319.48,20344.47,573
2022.06.23,8:05,20341.46,20353.97,20233.71,20251.71,655
2022.06.23,8:10,20249.46,20297.97,20241.97,20286.47,389
2022.06.23,8:15,20287.96,20302.71,20264.99,20272.71,573
2022.06.23,8:20,20273.71,20358.71,20267.48,20281.6,672
2022.06.23,8:25,20282.46,20358.21,20282.46,20343.29,609
2022.06.23,8:30,20343.29,20410.76,20340.29,20383.29,595
2022.06.23,8:35,20384.21,20439.68,20349.01,20358.11,619
2022.06.23,8:40,20358.11,20381.06,20348.18,20359.71,390
2022.06.23,8:45,20354.73,20394.46,20337.21,20366.16,374
2022.06.23,8:50,20365.21,20371.66,20298.82,20307.96,560
2022.06.23,8:55,20308.21,20324.23,20293.63,20314.96,462
2022.06.23,9:00,20312.23,20321.71,20274.71,20318.96,533
2022.06.23,9:05,20320.75,20320.75,20271.46,20296.67,520
2022.06.23,9:10,20295.96,20301.96,20261.12,20290.96,567
2022.06.23,9:15,20291.71,20318.14,20277.96,20318.14,405
2022.06.23,9:20,20311.64,20354.46,20292.66,20333.21,419
2022.06.23,9:25,20333.46,20421.79,20313.32,20390.77,720
2022.06.23,9:30,20390.77,20533.36,20364.81,20514.32,1097
2022.06.23,9:35,20514.32,20613.47,20497.32,20547.76,744
2022.06.23,9:40,20554.26,20597.85,20528.73,20555.23,855
2022.06.23,9:45,20556.23,20587.21,20526.08,20568.09,830
2022.06.23,9:50,20567.59,20568.96,20516.26,20538.2,500
2022.06.23,9:55,20538.71,20559.21,20513.51,20518.21,647
2022.06.23,10:00,20519.46,20554.21,20492.83,20548.96,786
2022.06.23,10:05,20538.5,20573.21,20508.02,20569.48,537
2022.06.23,10:10,20566.98,20592.46,20544.28,20556.78,617
2022.06.23,10:15,20552.68,20559.71,20465.97,20488.97,838
2022.06.23,10:20,20486.97,20489.97,20450.96,20455.96,730
2022.06.23,10:25,20451.3,20470.27,20445.77,20454.71,579
2022.06.23,10:30,20459.1,20466.47,20433.23,20459.96,692
2022.06.23,10:35,20457.69,20464.46,20407.06,20444.71,763
2022.06.23,10:40,20445.21,20455.08,20427.68,20441.12,389
2022.06.23,10:45,20441.62,20475.01,20402.03,20402.03,806
2022.06.23,10:50,20408.03,20430.93,20393.02,20414.43,604
2022.06.23,10:55,20412.71,20456.43,20395.43,20421.43,594
2022.06.23,11:00,20421.43,20498.96,20409.93,20492.18,703
2022.06.23,11:05,20490.68,20534.38,20480.51,20531.38,669
2022.06.23,11:10,20529.88,20607.31,20527.21,20575.25,787
2022.06.23,11:15,20572.25,20622.89,20514.29,20515.29,949
2022.06.23,11:20,20515.29,20558.71,20512.79,20545.96,613
2022.06.23,11:25,20545.21,20585.6,20532.96,20534.21,553
2022.06.23,11:30,20534.96,20572.71,20455.13,20464.94,932
2022.06.23,11:35,20470.44,20492.21,20458.13,20462.94,394
2022.06.23,11:40,20457.95,20486.21,20457.95,20481.46,448
2022.06.23,11:45,20481.21,20498.58,20443.05,20463.71,467
2022.06.23,11:50,20469.21,20478.71,20446.71,20460.21,304
2022.06.23,11:55,20461.21,20548.21,20461.21,20534.21,730
2022.06.23,12:00,20539.46,20571.04,20536.17,20544.5,473
2022.06.23,12:05,20544.5,20574.96,20538.5,20574.96,328
2022.06.23,12:10,20574.21,20600.63,20557.18,20581.96,581
2022.06.23,12:15,20582.46,20586.21,20549.72,20565.96,367
2022.06.23,12:20,20563.96,20690.88,20507.48,20538.48,988
2022.06.23,12:25,20535.48,20564.98,20472.19,20517.66,753
2022.06.23,12:30,20513.16,20596.66,20477.66,20591.16,742
2022.06.23,12:35,20592.16,20592.16,20469.21,20469.46,721
2022.06.23,12:40,20469.71,20502.46,20450.95,20483.79,705
